Match Title,Match ID,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard Link
Delhi Vs Andhra Elite Group B,1333273,Delhi,Andhra,drawn,-,Delhi,"Jan 10-13, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/delhi-vs-andhra-elite-group-b-1333273/full-scorecard
Goa Vs Puducherry Elite Group C,1333278,Goa,Puducherry,Puducherry,9 wickets,Porvorim,"Jan 10-12, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/goa-vs-puducherry-elite-group-c-1333278/full-scorecard
Haryana Vs Nagaland Elite Group A,1333269,Haryana,Nagaland,Haryana,inns & 69 runs,Rohtak,"Jan 10-12, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/haryana-vs-nagaland-elite-group-a-1333269/full-scorecard
Himachal Pradesh Vs Odisha Elite Group A,1333270,Himachal,Odisha,Himachal,3 wickets,Nadaun,"Jan 10-13, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/himachal-pradesh-vs-odisha-elite-group-a-1333270/full-scorecard
Hyderabad India Vs Saurashtra Elite Group B,1333275,Hyderabad,Saurashtra,Saurashtra,inns & 57 runs,Hyderabad,"Jan 10-11, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/hyderabad-india-vs-saurashtra-elite-group-b-1333275/full-scorecard
Karnataka Vs Rajasthan Elite Group C,1333279,Karnataka,Rajasthan,Karnataka,10 wickets,Alur (2),"Jan 10-12, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/karnataka-vs-rajasthan-elite-group-c-1333279/full-scorecard
Kerala Vs Services Elite Group C,1333280,Kerala,Services,Kerala,204 runs,Thumba,"Jan 10-13, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/kerala-vs-services-elite-group-c-1333280/full-scorecard
Madhya Pradesh Vs Gujarat Elite Group D,1333283,M. Pradesh,Gujarat,M. Pradesh,260 runs,Indore,"Jan 10-13, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/madhya-pradesh-vs-gujarat-elite-group-d-1333283/full-scorecard
Maharashtra Vs Tamil Nadu Elite Group B,1333276,Maharashtra,Tamil Nadu,drawn,-,Pune,"Jan 10-13, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/maharashtra-vs-tamil-nadu-elite-group-b-1333276/full-scorecard
Mizoram Vs Bihar Plate Group,1333286,Mizoram,Bihar,drawn,-,Nadiad,"Jan 10-13, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/mizoram-vs-bihar-plate-group-1333286/full-scorecard
Punjab Vs Jammu Kashmir Elite Group D,1333281,Punjab,J + K,Punjab,4 wickets,Mohali,"Jan 10-13, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/punjab-vs-jammu-kashmir-elite-group-d-1333281/full-scorecard
Railways Vs Tripura Elite Group D,1333284,Railways,Tripura,Railways,6 wickets,Surat,"Jan 10-13, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/railways-vs-tripura-elite-group-d-1333284/full-scorecard
Uttar Pradesh Vs Uttarakhand Elite Group A,1333272,UP,Uttarakhand,drawn,-,Lucknow,"Jan 10-13, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/uttar-pradesh-vs-uttarakhand-elite-group-a-1333272/full-scorecard
Bengal Vs Baroda Elite Group A,1333271,Bengal,Baroda,Bengal,7 wickets,Kalyani,"Jan 10-13, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/bengal-vs-baroda-elite-group-a-1333271/full-scorecard
Jharkhand Vs Chhattisgarh Elite Group C,1333277,Jharkhand,Chhattisgarh,Jharkhand,44 runs,Jamshedpur,"Jan 10-13, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/jharkhand-vs-chhattisgarh-elite-group-c-1333277/full-scorecard
Meghalaya Vs Manipur Plate Group,1333287,Meghalaya,Manipur,Manipur,8 wickets,Shillong,"Jan 10-12, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/meghalaya-vs-manipur-plate-group-1333287/full-scorecard
Assam Vs Mumbai Elite Group B,1333274,Assam,Mumbai,Mumbai,inns & 128 runs,Guwahati,"Jan 10-13, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/assam-vs-mumbai-elite-group-b-1333274/full-scorecard
Sikkim Vs Arunachal Pradesh Plate Group,1333285,Sikkim,Arunachal,Sikkim,inns & 258 runs,Rangpo,"Jan 10-12, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/sikkim-vs-arunachal-pradesh-plate-group-1333285/full-scorecard
Arunachal Pradesh Vs Meghalaya Plate Group,1333266,Arunachal,Meghalaya,Meghalaya,226 runs,Anand,"Jan 3-6, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/arunachal-pradesh-vs-meghalaya-plate-group-1333266/full-scorecard
Baroda Vs Himachal Pradesh Elite Group A,1333251,Baroda,Himachal,drawn,-,Vadodara,"Jan 3-6, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/baroda-vs-himachal-pradesh-elite-group-a-1333251/full-scorecard
Gujarat Vs Punjab Elite Group D,1333262,Gujarat,Punjab,Punjab,380 runs,Valsad,"Jan 3-5, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/gujarat-vs-punjab-elite-group-d-1333262/full-scorecard
Karnataka Vs Chhattisgarh Elite Group C,1333258,Karnataka,Chhattisgarh,Karnataka,7 wickets,Bengaluru,"Jan 3-6, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/karnataka-vs-chhattisgarh-elite-group-c-1333258/full-scorecard
Kerala Vs Goa Elite Group C,1333260,Kerala,Goa,Goa,7 wickets,Thumba,"Jan 3-6, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/kerala-vs-goa-elite-group-c-1333260/full-scorecard
Madhya Pradesh Vs Vidarbha Elite Group D,1333265,M. Pradesh,Vidarbha,M. Pradesh,205 runs,Indore,"Jan 3-6, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/madhya-pradesh-vs-vidarbha-elite-group-d-1333265/full-scorecard
Maharashtra Vs Assam Elite Group B,1333257,Maharashtra,Assam,drawn,-,Ambi,"Jan 3-6, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/maharashtra-vs-assam-elite-group-b-1333257/full-scorecard
Manipur Vs Mizoram Plate Group,1333268,Manipur,Mizoram,Manipur,inns & 36 runs,Ahmedabad,"Jan 3-5, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/manipur-vs-mizoram-plate-group-1333268/full-scorecard
Mumbai Vs Tamil Nadu Elite Group B,1333256,Mumbai,Tamil Nadu,drawn,-,Brabourne,"Jan 3-6, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/mumbai-vs-tamil-nadu-elite-group-b-1333256/full-scorecard
Railways Vs Jammu Kashmir Elite Group D,1333264,Railways,J + K,Railways,inns & 73 runs,Surat,"Jan 3-5, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/railways-vs-jammu-kashmir-elite-group-d-1333264/full-scorecard
Rajasthan Vs Jharkhand Elite Group C,1333261,Rajasthan,Jharkhand,drawn,-,Jaipur,"Jan 3-6, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/rajasthan-vs-jharkhand-elite-group-c-1333261/full-scorecard
Saurashtra Vs Delhi Elite Group B,1333255,Saurashtra,Delhi,Saurashtra,inns & 214 runs,Saurashtra,"Jan 3-5, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/saurashtra-vs-delhi-elite-group-b-1333255/full-scorecard
Services Vs Puducherry Elite Group C,1333259,Services,Puducherry,Services,5 wickets,Delhi,"Jan 3-6, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/services-vs-puducherry-elite-group-c-1333259/full-scorecard
Uttar Pradesh Vs Haryana Elite Group A,1333250,UP,Haryana,drawn,-,Lucknow,"Jan 3-6, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/uttar-pradesh-vs-haryana-elite-group-a-1333250/full-scorecard
Uttarakhand Vs Bengal Elite Group A,1333253,Uttarakhand,Bengal,drawn,-,Dehradun,"Jan 3-6, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/uttarakhand-vs-bengal-elite-group-a-1333253/full-scorecard
Andhra Vs Hyderabad India Elite Group B,1333254,Andhra,Hyderabad,Andhra,154 runs,Vizianagaram,"Jan 3-6, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/andhra-vs-hyderabad-india-elite-group-b-1333254/full-scorecard
Bihar Vs Sikkim Plate Group,1333267,Bihar,Sikkim,drawn,-,Patna,"Jan 3-6, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/bihar-vs-sikkim-plate-group-1333267/full-scorecard
Odisha Vs Nagaland Elite Group A,1333252,Odisha,Nagaland,drawn,-,Cuttack,"Jan 3-6, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/odisha-vs-nagaland-elite-group-a-1333252/full-scorecard
Tripura Vs Chandigarh Elite Group D,1333263,Tripura,Chandigarh,drawn,-,Agartala,"Jan 3-6, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/tripura-vs-chandigarh-elite-group-d-1333263/full-scorecard
Arunachal Pradesh Vs Manipur Plate Group,1333247,Arunachal,Manipur,Manipur,8 wickets,Anand,"Dec 27-30, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/arunachal-pradesh-vs-manipur-plate-group-1333247/full-scorecard
Baroda Vs Uttar Pradesh Elite Group A,1333233,Baroda,UP,Baroda,4 wickets,Vadodara,"Dec 27-30, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/baroda-vs-uttar-pradesh-elite-group-a-1333233/full-scorecard
Delhi Vs Tamil Nadu Elite Group B,1333237,Delhi,Tamil Nadu,drawn,-,Delhi,"Dec 27-30, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/delhi-vs-tamil-nadu-elite-group-b-1333237/full-scorecard
Goa Vs Karnataka Elite Group C,1333239,Goa,Karnataka,drawn,-,Porvorim,"Dec 27-30, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/goa-vs-karnataka-elite-group-c-1333239/full-scorecard
Gujarat Vs Chandigarh Elite Group D,1333244,Gujarat,Chandigarh,Gujarat,inns & 87 runs,Ahmedabad,"Dec 27-30, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/gujarat-vs-chandigarh-elite-group-d-1333244/full-scorecard
Hyderabad India Vs Assam Elite Group B,1333236,Hyderabad,Assam,Assam,18 runs,Hyderabad,"Dec 27-30, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/hyderabad-india-vs-assam-elite-group-b-1333236/full-scorecard
Kerala Vs Chhattisgarh Elite Group C,1333242,Kerala,Chhattisgarh,Kerala,7 wickets,Thumba,"Dec 27-30, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/kerala-vs-chhattisgarh-elite-group-c-1333242/full-scorecard
Madhya Pradesh Vs Railways Elite Group D,1333245,M. Pradesh,Railways,M. Pradesh,2 wickets,Indore,"Dec 27-30, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/madhya-pradesh-vs-railways-elite-group-d-1333245/full-scorecard
Mumbai Vs Saurashtra Elite Group B,1333238,Mumbai,Saurashtra,Saurashtra,48 runs,Mumbai,"Dec 27-30, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/mumbai-vs-saurashtra-elite-group-b-1333238/full-scorecard
Puducherry Vs Rajasthan Elite Group C,1333241,Puducherry,Rajasthan,Rajasthan,inns & 101 runs,Puducherry,"Dec 27-28, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/puducherry-vs-rajasthan-elite-group-c-1333241/full-scorecard
